"Year","depart","land","lat1","lon1","state.x","lat2","lon2","state.y"
2001,"PVD","CVG",41.732581,-71.420383,"Rhode Island",39.048836,-84.667822,"Kentucky"
2013,"JFK","PIT",40.639751,-73.778925,"New York",40.491467,-80.232872,"Pennsylvania"
2014,"ATL","SJC",33.636719,-84.428067,"Georgia",37.3626,-121.929022,"California"
2005,"HPN","TUS",41.066959,-73.707575,"New York",32.116083,-110.941028,"Arizona"
2011,"IAH","HPN",29.984433,-95.341442,"Texas",41.066959,-73.707575,"New York"
1993,"ORD","ORF",41.978603,-87.904842,"Illinois",36.894611,-76.201222,"Virginia"
2008,"MEM","MIA",35.042417,-89.976667,"Tennessee",25.79325,-80.290556,"Florida"
2006,"MIA","LGA",25.79325,-80.290556,"Florida",40.777245,-73.872608,"New York"
2002,"AMA","IAH",35.219369,-101.705931,"Texas",29.984433,-95.341442,"Texas"
2005,"DAL","MCI",32.847111,-96.851778,"Texas",39.297606,-94.713905,"Missouri"
2008,"BUR","SMF",34.200667,-118.358667,"California",38.695417,-121.590778,"California"
2000,"ORF","SAN",36.894611,-76.201222,"Virginia",32.733556,-117.189667,"California"
2010,"HOU","PHF",29.645419,-95.278889,"Texas",37.131894,-76.492989,"Virginia"
2013,"HPN","OAK",41.066959,-73.707575,"New York",37.721278,-122.220722,"California"
2013,"BUR","LGA",34.200667,-118.358667,"California",40.777245,-73.872608,"New York"
2004,"ONT","BWI",34.056,-117.601194,"California",39.175361,-76.668333,"Maryland"
2013,"MDW","DEN",41.785972,-87.752417,"Illinois",39.861656,-104.673178,"Colorado"
2006,"MHT","LAX",42.932556,-71.435667,"New Hampshire",33.942536,-118.408075,"California"
2006,"MHT","PHF",42.932556,-71.435667,"New Hampshire",37.131894,-76.492989,"Virginia"
1998,"BOS","SAV",42.364347,-71.005181,"Massachusetts",32.127583,-81.202139,"Georgia"
2006,"MDW","SJC",41.785972,-87.752417,"Illinois",37.3626,-121.929022,"California"
2000,"BHM","JFK",33.562942,-86.75355,"Alabama",40.639751,-73.778925,"New York"
2008,"JFK","MCO",40.639751,-73.778925,"New York",28.429394,-81.308994,"Florida"
